note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,user_id,nickname,gender,profile_url,avatar,source_keyword,source_file,data_type,ad_filter_reason,cleaned_content,is_meaningful,is_duplicate
5301526982828116,#极狐贝塔S3惊喜上市5.98万元起#5月22日，极狐贝塔S3正式登场，换电版5.98万起（电池租用）、充电版7.98万起，重塑10万级纯电家轿门槛。4916mm车长+2876mm轴距，B级大空间，前排可平躺成1.8m休憩区。核心亮点是99秒极速换电，宁德时代巧克力电池，续航535km，月租电池无衰减焦虑。充电版最高660km续航，零百7.1秒，百公里电耗≤11kWh。15.6英寸中控、256色氛围灯、电动尾翼，高配带192线激光雷达+NOA智驾。预售订单破3万台，B级尺寸A级价，家用纯电首选。 极狐贝塔s3惊喜上市5.98万元起,1779494793,2026-05-23 00:06:33+08:00,33,0,0,1779541369625,https://m.weibo.cn/detail/5301526982828116,安徽,5703202875,芋泥守护者,f,https://m.weibo.cn/u/5703202875?luicode=20000061&lfid=5301526982828116&launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.1.1078.1078.180/006dY3B9ly8i8229u8477j30ty0u0acy.jpg?KID=imgbed,tva&Expires=1779552154&ssig=C%2FnM8l10TI",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,5月22日极狐贝塔S3正式登场换电版598万起电池租用充电版798万起重塑10万级纯电家轿门槛4916mm车长2876mm轴距B级大空间前排可平躺成18m休憩区核心亮点是99秒极速换电宁德时代巧克力电池续航535km月租电池无衰减焦虑充电版最高660km续航零百71秒百公里电耗11kWh156英寸中控256色氛围灯电动尾翼高配带192线激光雷达NOA智驾预售订单破3万台B级尺寸A级价家用纯电首选 极狐贝塔s3惊喜上市598万元起,True,False
5301540524918727,#极狐贝塔S3惊喜上市5.98万元起#除了名字还是抽象，极狐的车算是步入正轨了 ,1779498022,2026-05-23 01:00:22+08:00,35,9,10,1779541369632,https://m.weibo.cn/detail/5301540524918727,上海,2775352495,波波玩个车,m,https://m.weibo.cn/u/2775352495?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/a56c84afly8hmzvw2wgz8j20u00u00us.jpg?KID=imgbed,tva&Expires=1779552153&ssig=MusaRnnOJI",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,除了名字还是抽象极狐的车算是步入正轨了 ,True,False
5301725428976746,#5万开B级车极狐贝塔S3上市#1.94黄金轴高比，勾勒从容身姿99秒极速换电，偷得两分悠闲B级舒享空间，承载全家欢聚660km超长续航，奔赴山海无界#极狐贝塔S3惊喜上市5.98万元起# ，越级实力重塑家轿标杆 ,1779542106,2026-05-23 13:15:06+08:00,2,3,0,1779541369636,https://m.weibo.cn/detail/5301725428976746,山东,1698247067,仙花同学-EVLab,f,https://m.weibo.cn/u/1698247067?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/6539319bly8icdans342rj20u00u0goi.jpg?KID=imgbed,tva&Expires=1779552153&ssig=nvZrJmWvVf",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,194黄金轴高比勾勒从容身姿99秒极速换电偷得两分悠闲B级舒享空间承载全家欢聚660km超长续航奔赴山海无界 越级实力重塑家轿标杆 ,True,False
5301698983891142,极狐贝塔S3，5.98万起！不是A0级小车，而是货真价实的B级车！！不信？？请看视频！！#极狐贝塔s3惊喜上市5.98万元起# #极狐贝塔s3# #大空间越级纯电家轿极狐贝塔s3# 北京 桥桥快上车的微博视频 ,1779535801,2026-05-23 11:30:01+08:00,59,17,8,1779541369642,https://m.weibo.cn/detail/5301698983891142,北京,7833551424,桥桥快上车,f,https://m.weibo.cn/u/7833551424?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/008y8MzCly8i5sobg0hs7j30u00u0mz2.jpg?KID=imgbed,tva&Expires=1779552153&ssig=HVEY3QiV%2F4",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,极狐贝塔S3598万起不是A0级小车而是货真价实的B级车不信请看视频   北京 桥桥快上车的微博视频 ,True,False
5301484470408006,不到6万开上B级新能源车？能换电大空间！极狐贝塔S3正式上市！#极狐贝塔S3惊喜上市5.98万元起##大张伟99秒换电初体验# 车则CHEZE的微博视频 ,1779484657,2026-05-22 21:17:37+08:00,4,8,1,1779541369647,https://m.weibo.cn/detail/5301484470408006,北京,3602908380,车则CHEZE,m,https://m.weibo.cn/u/3602908380?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.368.368.180/d6c004dcgy1fl3m4k169zj20a90a93zz.jpg?KID=imgbed,tva&Expires=1779552153&ssig=A9kzYU%2BXrQ",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,不到6万开上B级新能源车能换电大空间极狐贝塔S3正式上市 车则CHEZE的微博视频 ,True,False
5301799709838262,5.98万起B级纯电轿车门槛被极狐贝塔S3拉入了5万级，你敢信？ #极狐贝塔s3惊喜上市5.98万元起# #大张伟99秒换电初体验#  5.98万起B级纯电轿车门槛被极狐贝塔S3拉入了5万级，你敢信？ ,1779559816,2026-05-23 18:10:16+08:00,1,5,0,1779541369650,https://m.weibo.cn/detail/5301799709838262,广东,2053829781,极车志TC,m,https://m.weibo.cn/u/2053829781?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/7a6af495ly8gpa39uqu4pj20u00u0myl.jpg?KID=imgbed,tva&Expires=1779552153&ssig=5iZ7OtQngC",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,598万起B级纯电轿车门槛被极狐贝塔S3拉入了5万级你敢信    598万起B级纯电轿车门槛被极狐贝塔S3拉入了5万级你敢信 ,True,False
5301731804319449,哇，极狐贝塔S3真的太惊艳了！听说才5.98万元起，这价格真的让人心动啊！🚗🎉 你们觉得这款车怎么样？有没有想买的冲动？评论区聊聊吧！👇#极狐贝塔S3惊喜上市5.98万元起 #汽车 #新车上市 #极狐汽车#极狐贝塔S3惊喜上市5.98万元起# ,1779543626,2026-05-23 13:40:26+08:00,5,11,0,1779541369652,https://m.weibo.cn/detail/5301731804319449,河北,5943853224,苏莘io,m,https://m.weibo.cn/u/5943853224?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/006ufNKoly8ida01x4546j30u00u0n0j.jpg?KID=imgbed,tva&Expires=1779552153&ssig=uP0U%2BvkNEl",极狐贝塔S3惊喜上市5.98万元起,search_contents_2026-05-23.csv,search_post,,哇极狐贝塔S3真的太惊艳了听说才598万元起这价格真的让人心动啊 你们觉得这款车怎么样有没有想买的冲动评论区聊聊吧汽车 极狐汽车 ,True,False
5301474033671436,小狗在匪徒入侵时保护了主人和房子，但身中多枪。它住院了54天，经历了3次手术，这里是它离开医院的时刻 仅分组可观的微博视频 ,1779482169,2026-05-22 20:36:09+08:00,18958,294,616,1779541441643,https://m.weibo.cn/detail/5301474033671436,中国香港,7572403496,仅分组可观,f,https://m.weibo.cn/u/7572403496?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/008gt24gly8i8i6qbph0jj30u00u0gn0.jpg?KID=imgbed,tva&Expires=1779552235&ssig=YqlbM04SG0",小狗护主中弹三次手术后出院,search_contents_2026-05-23.csv,search_post,,小狗在匪徒入侵时保护了主人和房子但身中多枪它住院了54天经历了3次手术这里是它离开医院的时刻 仅分组可观的微博视频 ,True,False
5301803160705358,#小狗护主中弹三次手术后出院#盘点忠犬护主的感动瞬间，狗狗虽然不会说话，但是用行动表达了忠诚和爱 白御宸_的微博视频 ,1779560639,2026-05-23 18:23:59+08:00,69,6,1,1779541441646,https://m.weibo.cn/detail/5301803160705358,河北,7754366956,白御宸_,m,https://m.weibo.cn/u/7754366956?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/008sMx4Mly8icbxnm8njyj30u00u0t93.jpg?KID=imgbed,tva&Expires=1779552235&ssig=ZtVS4sxbX1",小狗护主中弹三次手术后出院,search_contents_2026-05-23.csv,search_post,,盘点忠犬护主的感动瞬间狗狗虽然不会说话但是用行动表达了忠诚和爱 白御宸_的微博视频 ,True,False
5301798699271683,#小狗护主中弹三次手术后出院#有没有一只狗，为救你拼上性命它不懂什么大道理，只知道要护住你用小小的身躯，挡在危险前面，拼尽全力护你周全😭#微博二创视频创作季# 奶酪毛绒绒的微博视频 ,1779559575,2026-05-23 18:06:15+08:00,103,23,4,1779541441652,https://m.weibo.cn/detail/5301798699271683,四川,4048803423,奶酪毛绒绒,f,https://m.weibo.cn/u/4048803423?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/f153d65fly8ia7k2lq1pej20u00u0tbw.jpg?KID=imgbed,tva&Expires=1779552235&ssig=2lcK73TwNj",小狗护主中弹三次手术后出院,search_contents_2026-05-23.csv,search_post,,有没有一只狗为救你拼上性命它不懂什么大道理只知道要护住你用小小的身躯挡在危险前面拼尽全力护你周全 奶酪毛绒绒的微博视频 ,True,False
