note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,user_id,nickname,gender,profile_url,avatar,source_keyword,source_file,data_type,ad_filter_reason,cleaned_content,is_meaningful,is_duplicate,all_comments,Topic,sentiment,置信度
5300630606318576,#张凌赫把金靖放在c位#张凌赫晒自己给开推团照的照片，把金靖的单人照片放在了c位了，哈哈哈哈给姐姐最好的待遇#开始推理吧# ,1779281080,2026-05-20 12:44:40+08:00,5680,210,114,1779278834336,https://m.weibo.cn/detail/5300630606318576,河南,3879833811,鸡蛋仔嘎嘣脆,f,https://m.weibo.cn/u/3879833811?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/e74190d3ly8hhf49jqwh1j20u00u0gmt.jpg?KID=imgbed,tva&Expires=1779289633&ssig=1Wknd7cu3Z",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,,张凌赫晒自己给开推团照的照片把金靖的单人照片放在了c位了哈哈哈哈给姐姐最好的待遇 ,True,False,这种群像的氛围真的太棒了 || 期待张凌赫开始推理吧4 || 谢谢发凌赫红稿,0,积极,0.9523736238479614
5300641474022140,金靖，撒娇女人最好命。张凌赫把金靖放在C位，开推团的各位，谁没被金靖挑逗到嘴角上扬呢~#张凌赫把金靖放在C位##微博二创视频创作季# 柿柿不炒蛋的微博视频  ,1779283671,2026-05-20 13:27:51+08:00,316,61,6,1779278834345,https://m.weibo.cn/detail/5300641474022140,安徽,5708654517,柿柿不炒蛋,f,https://m.weibo.cn/u/5708654517?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.600.600.180/006ekVORly8iasg8m4cfwj30go0go403.jpg?KID=imgbed,tva&Expires=1779289633&ssig=32FhqElcd%2B",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,,金靖撒娇女人最好命张凌赫把金靖放在C位开推团的各位谁没被金靖挑逗到嘴角上扬呢 柿柿不炒蛋的微博视频  ,True,False,怎么感觉张凌赫很好骗走的样子 || 金靖撒娇谁能扛得住啊 || 金靖可太会了,0,积极,0.5842189192771912
5300673904378268,#张凌赫把金靖放在C位# 开推百灵鸟+推理担当，金句频出，被点出土拨鼠尖叫张凌赫开始推理吧4可爱向🈶️#金靖回复张凌赫谢谢我的站哥# 星姐微博的微博视频 ,1779291403,2026-05-20 15:36:43+08:00,1222,59,22,1779278834352,https://m.weibo.cn/detail/5300673904378268,上海,5103645868,星姐微博,f,https://m.weibo.cn/u/5103645868?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/005zonqQly8gqawq1cgqnj30e80e8wfa.jpg?KID=imgbed,tva&Expires=1779289633&ssig=Z%2FlnAcwxI9",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,, 开推百灵鸟推理担当金句频出被点出土拨鼠尖叫张凌赫开始推理吧4可爱向 星姐微博的微博视频 ,True,False,期待张凌赫 || 张凌赫综艺感越来越强了有趣的人 || 期待张凌赫一起开推吧,0,积极,0.9455630779266356
5300654587248887,#张凌赫把金靖放在C位#看到这条笑死了…有人问跷二郎腿的漂亮女生是谁？是刘宇宁… ,1779286797,2026-05-20 14:19:57+08:00,125,41,1,1779278834360,https://m.weibo.cn/detail/5300654587248887,广东,2683832713,奋斗kitty,m,https://m.weibo.cn/u/2683832713?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.995.995.180/9ff80989ly8hcs8a123wvj20rn0rntb9.jpg?KID=imgbed,tva&Expires=1779289633&ssig=xkqU%2BzsZrt",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,,看到这条笑死了有人问跷二郎腿的漂亮女生是谁是刘宇宁 ,True,False,刘宇宁气的露出了他的兔子牙 || 笑死我了哈哈哈哈哈哈哈哈 || 哈哈哈太有意思了,0,消极,0.5751245617866516
5300642999962262,#张凌赫把金靖放在C位#哈哈哈哈😂张凌赫发开推团的照片，c位留给了金靖，弟弟好宠姐姐啊 ,1779284035,2026-05-20 13:33:55+08:00,409,73,63,1779278834371,https://m.weibo.cn/detail/5300642999962262,河南,5842362793,第一娱闻联播,m,https://m.weibo.cn/u/5842362793?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1024.1024.180/006nnXrXly8h8uil0xhabj30sg0sgn01.jpg?KID=imgbed,tva&Expires=1779289633&ssig=txseEUd20U",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,,哈哈哈哈张凌赫发开推团的照片c位留给了金靖弟弟好宠姐姐啊 ,True,False,就是说啊家人们这俩人有点好磕 || 哈哈哈哈哈哈两个人怎么都这么可爱 || 他们关系是真的好好啊,0,积极,0.9608550667762756
5300741008790908,#张凌赫把金靖放在C位#520Ye，张凌赫居然把金靖放在了C位，这份爱不言而喻，姐弟情深啊 ,1779307402,2026-05-20 20:03:22+08:00,0,0,0,1779278834381,https://m.weibo.cn/detail/5300741008790908,江苏,1057466682,香香纪事,m,https://m.weibo.cn/u/1057466682?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/3f07a93aly8i5rgspruwwj20u00u0n0i.jpg?KID=imgbed,tva&Expires=1779289633&ssig=s2jaeyam8p",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,,520Ye张凌赫居然把金靖放在了C位这份爱不言而喻姐弟情深啊 ,True,False,,0,积极,0.925940990447998
5300666659504342,【#张凌赫回应金靖人美我的模特# 金靖：谢谢我的站哥】5月20日，@张凌赫z 发布《开始推理吧》九宫格照片，#张凌赫把金靖放在C位#。金靖在评论区回复：“谢谢我的站哥。”张凌赫回应：“人美我的模特。”戳更多#金靖回复张凌赫谢谢我的站哥#&gt;&gt; 钱江视频的微博视频 ,1779289675,2026-05-20 15:07:55+08:00,28,10,8,1779278834392,https://m.weibo.cn/detail/5300666659504342,,1744332207,钱江视频,m,https://m.weibo.cn/u/1744332207?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/67f865afly8h8vg6w30czj20e80e8t92.jpg?KID=imgbed,tva&Expires=1779289633&ssig=vawQorjSBm",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,, 金靖谢谢我的站哥5月20日 发布开始推理吧九宫格照片金靖在评论区回复谢谢我的站哥张凌赫回应人美我的模特戳更多gtgt 钱江视频的微博视频 ,True,False,介绍一下张凌赫 || 介绍一下金靖,0,积极,0.8958367109298706
5300737299972461,#张凌赫把金靖放在C位#好好的一只小狗！！总是把姐姐放最好的位置~张凌赫真的是顶好顶好的~~#张凌赫以为神的坐骑是自己#张凌赫 ,1779306517,2026-05-20 19:48:37+08:00,1,1,0,1779278834401,https://m.weibo.cn/detail/5300737299972461,湖南,7773575639,cheng刷,f,https://m.weibo.cn/u/7773575639?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.1.1078.1078.180/008u588fly8ibixcmk10ij30ty0u077a.jpg?KID=imgbed,tva&Expires=1779289633&ssig=OXc%2F%2Bf2h0B",张凌赫把金靖放在C位,search_contents_2026-05-20.csv,search_post,,好好的一只小狗总是把姐姐放最好的位置张凌赫真的是顶好顶好的张凌赫 ,True,False,我爱你所以我的眼里只能看见你我爱你所以我的世界只围绕着你转,0,积极,0.9828110933303832
5300721404874339,#金莎孙丞潇婚纱照#金莎孙丞潇这组婚纱照真的甜到齁住了姐姐眼里的笑意根本藏不住吧🥰 ,1779302728,2026-05-20 18:45:28+08:00,202,27,10,1779278914360,https://m.weibo.cn/detail/5300721404874339,陕西,6578259677,啵啵暮霭茶_,f,https://m.weibo.cn/u/6578259677?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/007bbHQxly8idbux01f83j30u00u0q3m.jpg?KID=imgbed,tva&Expires=1779289699&ssig=MZgiUBPPs7",金莎孙丞潇婚纱照,search_contents_2026-05-20.csv,search_post,,金莎孙丞潇这组婚纱照真的甜到齁住了姐姐眼里的笑意根本藏不住吧 ,True,False,好般配的两个人 || 不错诶祝99,0,积极,0.9667747616767884
5300706870297518,穿上了神圣的婚纱 巴厘岛天气比较潮热给我先生热的有些中暑 但并不影响他的疏朗清隽浪漫不限数次 此为我与先生 人生首组婚纱照多谢@时尚新娘官方  的真切邀请哈哈 新娘美吗？@孙丞潇 #520# #莎丞抱# ,1779299262,2026-05-20 17:47:42+08:00,11267,721,442,1779278914369,https://m.weibo.cn/detail/5300706870297518,广东,1195366567,金莎,f,https://m.weibo.cn/u/1195366567?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/001iTDrVly8gop6a1r86gj60e80e875402.jpg?KID=imgbed,tva&Expires=1779289699&ssig=wpGILT34Dd",金莎孙丞潇婚纱照,search_contents_2026-05-20.csv,search_post,,穿上了神圣的婚纱 巴厘岛天气比较潮热给我先生热的有些中暑 但并不影响他的疏朗清隽浪漫不限数次 此为我与先生 人生首组婚纱照多谢  的真切邀请哈哈 新娘美吗   ,True,False,我想变成蚊子飞过去参与一下 || 金莎你是最美的新娘 || 你的名字叫幸福 你的生活叫甜蜜 你的微博叫美满 提到你我的血糖都高了  潇莎原地改名莎丞抱  我需要二甲双胍降血糖,0,积极,0.9553596377372742
