user_id,nickname,gender,avatar,desc,ip_location,follows,fans,tag_list,last_modify_ts
7736854575,尤奇劳尔,Male,https://wx2.sinaimg.cn/orj480/008rB3j1ly8idecn83oz1j30u00u0410.jpg,如果萌是一种天赋,,1824,1.5万,,1779465602164
7461208909,吃吃志猫咪条,Female,https://wx4.sinaimg.cn/orj480/0088Wthbly8ibsj2onhroj30u00u0diw.jpg,TOP小糊团赶紧解散，朱志鑫单飞,,762,1513,,1779465605529
7794068844,用户7794068844,Female,https://ss1.sinaimg.cn/orj480/default_avatar_female_180&690,,,28,1,,1779465608939
1796986003,恒温20度,Female,https://ww4.sinaimg.cn/orj480/6b1bd493jw1e8qgp5bmzyj2050050aa8.jpg, ,,139,115,,1779465612312
1442210611,硕伟,Male,https://wx4.sinaimg.cn/orj480/55f66333ly8i3ei9gz9kpj20u00u0god.jpg,小众，非主旋律,,396,2784,,1779465615865
3292032777,左小小13,Female,https://wx1.sinaimg.cn/orj480/c4386f09ly8gpvx3pd8mpj20ku0kuabh.jpg,不想喝的酒先干为敬，不想见的人笑脸相迎,,1178,358,,1779465619384
8320562356,云龙风从,Male,https://wx2.sinaimg.cn/orj480/00956emEly8idcyovsrvuj30dw0dw3zp.jpg,,,8,1,,1779465622860
7922571990,赛博凌航员,Female,https://wx2.sinaimg.cn/orj480/008EaiTcly8hwyj8rd86dj30u00u0n0a.jpg,微博官方认证机器人,,7,1.8万,,1779465626511
7881025175,胡-图-图不糊涂,Female,https://wx1.sinaimg.cn/orj480/008BlYFhly8hjdkp9zby3j30hs0hsdgb.jpg,努力和好运总有先来后到，越努力越幸运。,,4586,733,,1779465629871
7887850306,黛蒙-Tree,Female,https://wx2.sinaimg.cn/orj480/008BOCc2ly8i1fz4e1jp8j30ov0ovn0a.jpg,“歌唱到最后听懂的人眼红热.”,,80,9,,1779465633280
6621602109,_一条线而已,Male,https://wx2.sinaimg.cn/orj480/007e7zc1ly8iaapdec1sjj30u00u0dj0.jpg,地球是一条线。,,75,2,,1779465636810
5340995219,想昵称想的都困了,Female,https://wx2.sinaimg.cn/orj480/005PsgQbly8i9ahiug0poj30u00u0wjd.jpg,📝,,592,619,,1779465640179
7441914221,今天吃点啥ya_,Female,https://wx2.sinaimg.cn/orj480/0087DvQxly8i11agax81oj30u00u0n1c.jpg,幸福得晕了,,149,7,,1779465643584
1098766825,巭黈,Female,https://wx2.sinaimg.cn/orj480/417dd9e9ly8iau2onfpsnj20se0se75p.jpg,昀孟99！尚公主大爆！,,316,2819,,1779465647073
2547831794,大河马小耳朵,Male,https://wx1.sinaimg.cn/orj480/97dcd3f2ly8fys2zzhil4j20dc0dcgmj.jpg,美好,,129,918,,1779465650558
7244980557,拾第七秒希绪_,Female,https://wx2.sinaimg.cn/orj480/007Ujcp7ly8humadaizd7j30s40s441h.jpg,,,522,107,,1779465653929
7980221493,暂时还没想好应该取什么昵称,Female,https://wx3.sinaimg.cn/orj480/008I4c9Tly8ibw4qff7sqj30qo0qotao.jpg,太懒了没有简介,,35,15,,1779465657355
7850772715,乌梅在线,Female,https://wx2.sinaimg.cn/orj480/008zj2Cnly8i6f374ouwtj30tw0tw0wz.jpg,,,94,22,,1779465660773
6537949116,拿到转运珠了吗,Female,https://wx1.sinaimg.cn/orj480/0078szecly8ibyl3bv0q8j30u00u0gmn.jpg,如果雨季延长，那就撑伞直到放晴。,,895,825,,1779465664192
1760333420,独往孤寂,Male,https://wx3.sinaimg.cn/orj480/68ec8e6cly8hizevi194rj20u00u0n19.jpg,命中注定一个人的生活 过得一天得一天 随遇而安,,375,198,,1779465667614
5412177289,Vatine灬_,Male,https://wx2.sinaimg.cn/orj480/005UgWy5ly8gf1qfx045jj30ig0ig0um.jpg,,,32,48,,1779465671032
7437017401,闪亮的星_shiningstar_,Female,https://wx4.sinaimg.cn/orj480/0087iXXzly8i6ijodugjrj30u00u0mzx.jpg,🥜❤️🍐 我是闪星本尊（原本尊怎么了就不多说了,,133,16,,1779465674402
3222612674,李科_无锡,Male,https://ss1.sinaimg.cn/orj480/default_avatar_male_180&690,,,188,182,,1779465677826
7856945472,不知道取啥名捏_,Male,https://wx3.sinaimg.cn/orj480/008zIWqYly8iao0iwg5roj30hs0hs0tq.jpg,,,722,263,,1779465681219
7633218180,娱路路,Female,https://wx2.sinaimg.cn/orj480/008kAcKgly8i4y5kpileij30d40d4jry.jpg,一起冲浪啊,,13129,8076,,1779465684653
5631749690,Diamond_StarGazer,Female,https://wx1.sinaimg.cn/orj480/00698fmqly8hilycz4dk3j30u00u00ws.jpg,solo，不惹事也不怕事👊🏻,,732,255,,1779465688062
6301750900,MSTAR有深度,Male,https://wx1.sinaimg.cn/orj480/006Stvhyly8fhc4yo9422j30e60e83z7.jpg,,,88,23,,1779465691448
6599228712,Colip_,Female,https://wx2.sinaimg.cn/orj480/007cBGQMly8icc3z1frtaj30u00u0tby.jpg,“我选中你啦~” 欢迎投稿,,1185,5.4万,,1779465694851
5700772013,OHsuperbaby,Female,https://wx4.sinaimg.cn/orj480/006dNRdHly8id6as23p7wj30u00u00wv.jpg,,,378,7,,1779465698293
7787703832,8好运锦鲤,Male,https://wx4.sinaimg.cn/orj480/008v2pwkly8i54t3akq2pj30u00u0q5i.jpg,,,263,430,,1779465701743
7774365528,DL可愛寶寶,Female,https://wx2.sinaimg.cn/orj480/008u8rColy8hu7rkjycl1j30dw0dwab1.jpg,,,33,15,,1779465705138
5088482551,辣鸡辣椒酱,Female,https://wx1.sinaimg.cn/orj480/005ymKLdly8ida0xson3kj30u00u0q5b.jpg,,,599,1,,1779465708605
2291572692,不愿透露姓氏的热心市民杨先生,Male,https://wx1.sinaimg.cn/orj480/88969fd4ly8h7ng0umph6j20u00u00y6.jpg,世上最快乐的事，莫过于为理想而奋斗。,,17,417,,1779465712031
3835103409,胡彦斌TGH工作室,Female,https://wx2.sinaimg.cn/orj480/e49708b1ly8i1jssebwq8j20sf0sf74p.jpg,胡彦斌工作室官方微博，工作事宜请联系：tigerstudio@goodsongs.cn，粉丝沟通请联系：tigerfans@goodsongs.cn,,81,2.8万,,1779465715408
