note_id,text,label,置信度,data_type
5297912114578123,俞浩及追觅高管回应崩老头为了流量无下限不管是极少数黑心自媒体还是其他人我有仇必报而且十倍还击 ,1,0.816142737865448,posts
5298071791208978,黑心流氓媒体公司我有仇必报而且十倍还击5月12日某自媒体发布文章清华天才崩老头质疑追觅创始人 发表夸张言论等行为并非为了带货或招揽人才而是一套瞄准地方政府产业基金的资本游戏文章称俞浩麾下有数千家企业嗷嗷待哺等待第一笔天使轮资金的进入俞浩盯上的不是风投机构而是地方政府的产业基金是以一种史无前例的方式做大估值对此俞浩发多条视频反击他表示古有专利流氓公司今有黑心流氓媒体公司敲诈勒索博取流量收取保护费 流氓媒体公司比流氓专利公司对企业正常发展的危害更大是社会经济发展的毒瘤俞浩还表示反正谁都不要随便招惹老子不管是极少数黑心自媒体还是其他人我有仇必报而且十倍还击有人天天我们资金断不断的你先把信用卡还了好吗先把你的花呗还了好吗,1,0.7720783352851868,posts
5298072839522829,近日追觅创始人俞浩表示自己朋友圈并非真实生活写照大多是为营造努力人设俞浩称自己的朋友圈以前全都是写给投资人看的并且写的特别勤劳朋友圈里全是公司都是演给别人看的  山海视频的微博视频  ,2,0.4886992573738098,posts
5298057030928659,5月12日某自媒体发布文章质疑追觅创始人发表夸张言论等行为并非为了带货或招揽人才而是一套瞄准地方政府产业基金的资本游戏俞浩12日晚深夜回应该文章为了流量无下限俞浩还发微博回应称不管是极少数黑心自媒体还是其他人我有仇必报而且十倍还击此前追觅科技联席总裁雷鸣当日就此发视频回应称相关文章基本都是在造谣和抹黑博取流量他强调依托追觅体系化能力的复用孵化项目成功率远高于市场水平12日晚间在雷鸣社媒账号上该视频已被设为私密无法查看 蓝鲸新闻的微博视频,1,0.7611350417137146,posts
5298031978874916,1俞浩智商极高毋庸置疑 2俞浩精力旺盛再次超乎网友想象力 PS昨晚他被流氓自媒体10万爆文气得一夜没睡凌晨2点5点都在发视频回击然后刚刚一大早继续更新视频 我仿佛看到 一颗新时代的劳模企业家巨星在冉冉升起  ,0,0.9523569941520691,posts
5298103226994730,越来越看不懂这是什么操作了先是自媒体控告他有资本运作嫌疑后来他本人又澄清声明而且回应的很强烈不知道是怎么了搞不懂 ,1,0.8301805257797241,posts
5297746158554074,避雷每公斤含量高达125000毫克去年被查后仍继续售卖近日上海市市场监管局抽检发现一款叫爱必享糖果制品中每公斤西地那非含量高达12万5千毫克西地那非俗称伟哥为处方药禁止添加于普通食品中长期或不当食用可能引发头晕血压骤降肝肾损伤等健康风险尤其对儿童女性及心血管疾病患者危害极大2025年9月此产品就被通报过但商家玩失联虚假注册地址关闭涉事网店目前已无法查询到相关商品对此上海市市场监管局食品抽检处工作人员表示后续会有核查处置不合格信息会通报涉及的外省市 红星新闻的微博视频,2,0.5105058550834656,posts
5298036708476911,上海市市场监管局通报糖果制品中检出伟哥你以为是哄孩子的糖果其实是催情毒药近日上海市场监管局抽检发现一款叫爱必享的糖果制品每公斤里西地那非的含量竟然高达十二万五千毫克目前涉事商家已经失联希望严查严惩绝不姑息 ,1,0.636532723903656,posts
5298030120534402,已经迫不及待了吗底线呢 ,1,0.7252013683319092,posts
5298028294701654,之前就被查过了现在还敢拿出来售卖 损害身体健康的东西这是疯了 错位失温的微博视频 ,1,0.8671526908874512,posts
